Wed Jan  9 23:40:59 2019, Elapsed time: 0.05
Wed Jan  9 23:41:04 2019, Elapsed time: 0.06
Wed Jan  9 23:41:07 2019, Elapsed time: 0.06
Wed Jan  9 23:41:11 2019, Elapsed time: 0.05
Wed Jan  9 23:41:16 2019, Elapsed time: 0.06
Wed Jan  9 23:41:19 2019, Elapsed time: 0.06
Wed Jan  9 23:41:22 2019, Elapsed time: 0.06
Wed Jan  9 23:41:25 2019, Elapsed time: 0.05
Wed Jan  9 23:42:45 2019, Elapsed time: 0.05
Wed Jan  9 23:42:49 2019, Elapsed time: 0.05
Wed Jan  9 23:42:53 2019, Elapsed time: 0.06
Wed Jan  9 23:43:00 2019, Elapsed time: 0.05
Wed Jan  9 23:43:03 2019, Elapsed time: 0.06
Wed Jan  9 23:43:10 2019, Elapsed time: 0.06
Wed Jan  9 23:43:17 2019, Elapsed time: 0.06
Wed Jan  9 23:43:27 2019, Elapsed time: 0.06
Wed Jan  9 23:43:30 2019, Elapsed time: 0.05
Wed Jan  9 23:43:34 2019, Elapsed time: 0.06
Wed Jan  9 23:43:41 2019, Elapsed time: 0.05
Wed Jan  9 23:43:45 2019, Elapsed time: 0.06
Wed Jan  9 23:43:49 2019, Elapsed time: 0.05
Wed Jan  9 23:43:54 2019, Elapsed time: 0.05
Wed Jan  9 23:43:57 2019, Elapsed time: 0.06
Wed Jan  9 23:44:01 2019, Elapsed time: 0.05
Wed Jan  9 23:44:05 2019, Elapsed time: 0.06
Wed Jan  9 23:44:09 2019, Elapsed time: 0.06
Wed Jan  9 23:44:13 2019, Elapsed time: 0.05
Wed Jan  9 23:45:41 2019, Elapsed time: 0.07
Wed Jan  9 23:45:43 2019, Elapsed time: 0.07
Wed Jan  9 23:45:47 2019, Elapsed time: 0.05
Wed Jan  9 23:45:50 2019, Elapsed time: 0.05
Wed Jan  9 23:45:53 2019, Elapsed time: 0.05
Wed Jan  9 23:45:57 2019, Elapsed time: 0.05
Wed Jan  9 23:46:01 2019, Elapsed time: 0.06
Wed Jan  9 23:46:06 2019, Elapsed time: 0.05
Wed Jan  9 23:46:14 2019, Elapsed time: 0.06
Wed Jan  9 23:46:17 2019, Elapsed time: 0.05
Wed Jan  9 23:46:22 2019, Elapsed time: 0.06
Wed Jan  9 23:46:26 2019, Elapsed time: 0.05
Wed Jan  9 23:46:32 2019, Elapsed time: 0.06
Wed Jan  9 23:46:36 2019, Elapsed time: 0.05
Wed Jan  9 23:46:41 2019, Elapsed time: 0.06
Wed Jan  9 23:46:45 2019, Elapsed time: 0.05
Wed Jan  9 23:46:49 2019, Elapsed time: 0.05
Wed Jan  9 23:46:55 2019, Elapsed time: 0.07
Wed Jan  9 23:46:59 2019, Elapsed time: 0.05
Wed Jan  9 23:47:02 2019, Elapsed time: 0.06
Wed Jan  9 23:47:08 2019, Elapsed time: 0.05
Wed Jan  9 23:47:12 2019, Elapsed time: 0.06
Wed Jan  9 23:47:16 2019, Elapsed time: 0.05
Wed Jan  9 23:47:20 2019, Elapsed time: 0.06
Wed Jan  9 23:47:23 2019, Elapsed time: 0.05
Wed Jan  9 23:47:27 2019, Elapsed time: 0.05
Wed Jan  9 23:47:30 2019, Elapsed time: 0.06
Wed Jan  9 23:47:34 2019, Elapsed time: 0.06
Wed Jan  9 23:47:39 2019, Elapsed time: 0.05
Wed Jan  9 23:47:44 2019, Elapsed time: 0.05
Wed Jan  9 23:47:47 2019, Elapsed time: 0.06
Wed Jan  9 23:47:54 2019, Elapsed time: 0.06
Thu Jan 10 00:22:34 2019, Elapsed time: 0.06
Thu Jan 10 00:22:38 2019, Elapsed time: 0.05
Thu Jan 10 00:22:42 2019, Elapsed time: 0.06
Thu Jan 10 00:22:47 2019, Elapsed time: 0.07
Thu Jan 10 00:22:52 2019, Elapsed time: 0.05
Thu Jan 10 00:22:57 2019, Elapsed time: 0.06
Thu Jan 10 00:23:00 2019, Elapsed time: 0.05
Thu Jan 10 00:23:04 2019, Elapsed time: 0.05
Thu Jan 10 00:23:10 2019, Elapsed time: 0.06
Thu Jan 10 00:23:15 2019, Elapsed time: 0.07
Thu Jan 10 00:23:18 2019, Elapsed time: 0.05
Thu Jan 10 00:23:28 2019, Elapsed time: 0.07
Thu Jan 10 00:23:32 2019, Elapsed time: 0.07
Thu Jan 10 00:23:38 2019, Elapsed time: 0.05
Thu Jan 10 00:23:42 2019, Elapsed time: 0.05
Thu Jan 10 00:23:44 2019, Elapsed time: 0.05
Thu Jan 10 00:23:49 2019, Elapsed time: 0.07
Thu Jan 10 00:23:52 2019, Elapsed time: 0.07
Thu Jan 10 00:23:56 2019, Elapsed time: 0.05
Thu Jan 10 00:24:00 2019, Elapsed time: 0.06
Thu Jan 10 00:24:05 2019, Elapsed time: 0.06
Thu Jan 10 00:24:09 2019, Elapsed time: 0.05
Thu Jan 10 00:24:12 2019, Elapsed time: 0.06
Thu Jan 10 00:24:15 2019, Elapsed time: 0.05
Thu Jan 10 00:24:18 2019, Elapsed time: 0.06
Thu Jan 10 00:24:23 2019, Elapsed time: 0.05
Thu Jan 10 00:24:26 2019, Elapsed time: 0.05
Thu Jan 10 00:24:29 2019, Elapsed time: 0.08
Thu Jan 10 00:24:32 2019, Elapsed time: 0.06
Thu Jan 10 00:24:35 2019, Elapsed time: 0.05
Thu Jan 10 01:36:19 2019, Elapsed time: 0.06
Thu Jan 10 01:36:29 2019, Elapsed time: 0.09
Thu Jan 10 01:36:32 2019, Elapsed time: 0.07
Thu Jan 10 01:36:35 2019, Elapsed time: 0.06
Thu Jan 10 01:36:44 2019, Elapsed time: 0.07
Thu Jan 10 01:36:50 2019, Elapsed time: 0.06
Thu Jan 10 01:36:54 2019, Elapsed time: 0.06
Thu Jan 10 01:36:58 2019, Elapsed time: 0.07
Thu Jan 10 01:37:02 2019, Elapsed time: 0.07
Thu Jan 10 01:37:07 2019, Elapsed time: 0.06
Thu Jan 10 01:37:11 2019, Elapsed time: 0.07
Thu Jan 10 01:37:14 2019, Elapsed time: 0.05
Thu Jan 10 01:37:18 2019, Elapsed time: 0.06
Thu Jan 10 01:37:22 2019, Elapsed time: 0.06
Thu Jan 10 01:37:25 2019, Elapsed time: 0.07
Thu Jan 10 01:37:27 2019, Elapsed time: 0.07
Thu Jan 10 01:37:31 2019, Elapsed time: 0.05
Thu Jan 10 01:37:34 2019, Elapsed time: 0.06
Thu Jan 10 01:37:37 2019, Elapsed time: 0.06
Thu Jan 10 01:37:40 2019, Elapsed time: 0.05
Thu Jan 10 01:37:43 2019, Elapsed time: 0.06
Thu Jan 10 01:37:46 2019, Elapsed time: 0.06
Thu Jan 10 01:37:52 2019, Elapsed time: 0.07
Thu Jan 10 01:37:55 2019, Elapsed time: 0.05
Thu Jan 10 01:37:58 2019, Elapsed time: 0.05
Thu Jan 10 01:38:01 2019, Elapsed time: 0.06
Thu Jan 10 01:38:05 2019, Elapsed time: 0.05
Thu Jan 10 01:38:09 2019, Elapsed time: 0.05
Thu Jan 10 01:38:13 2019, Elapsed time: 0.06
Thu Jan 10 01:38:17 2019, Elapsed time: 0.05
Thu Jan 10 01:38:19 2019, Elapsed time: 0.05
Thu Jan 10 01:38:31 2019, Elapsed time: 0.05
Thu Jan 10 01:38:34 2019, Elapsed time: 0.05
Thu Jan 10 01:38:37 2019, Elapsed time: 0.05
Thu Jan 10 01:38:41 2019, Elapsed time: 0.06
Thu Jan 10 01:38:44 2019, Elapsed time: 0.06
Thu Jan 10 01:38:47 2019, Elapsed time: 0.05
Thu Jan 10 01:38:53 2019, Elapsed time: 0.05
Thu Jan 10 01:38:57 2019, Elapsed time: 0.05
Thu Jan 10 01:39:02 2019, Elapsed time: 0.06
Thu Jan 10 01:39:06 2019, Elapsed time: 0.06
Thu Jan 10 01:39:10 2019, Elapsed time: 0.06
Thu Jan 10 01:39:14 2019, Elapsed time: 0.06
Thu Jan 10 01:39:18 2019, Elapsed time: 0.05
Thu Jan 10 01:39:21 2019, Elapsed time: 0.06
Thu Jan 10 01:39:31 2019, Elapsed time: 0.05
Thu Jan 10 01:39:34 2019, Elapsed time: 0.06
Thu Jan 10 01:39:38 2019, Elapsed time: 0.05
Thu Jan 10 01:39:41 2019, Elapsed time: 0.06
Thu Jan 10 01:39:45 2019, Elapsed time: 0.05
Thu Jan 10 01:39:49 2019, Elapsed time: 0.06
Thu Jan 10 01:39:52 2019, Elapsed time: 0.05
Thu Jan 10 01:39:55 2019, Elapsed time: 0.06
Thu Jan 10 01:39:58 2019, Elapsed time: 0.06
Thu Jan 10 01:40:02 2019, Elapsed time: 0.05
Thu Jan 10 01:40:10 2019, Elapsed time: 0.23
Thu Jan 10 01:40:15 2019, Elapsed time: 0.30
Thu Jan 10 01:40:19 2019, Elapsed time: 0.29
Thu Jan 10 01:40:24 2019, Elapsed time: 0.30
Thu Jan 10 01:40:27 2019, Elapsed time: 0.22
Thu Jan 10 01:40:31 2019, Elapsed time: 0.45
Thu Jan 10 01:41:12 2019, Elapsed time: 0.05
Thu Jan 10 01:41:15 2019, Elapsed time: 0.05
Thu Jan 10 01:41:18 2019, Elapsed time: 0.06
Thu Jan 10 01:41:21 2019, Elapsed time: 0.05
Thu Jan 10 01:41:23 2019, Elapsed time: 0.05
Thu Jan 10 01:41:26 2019, Elapsed time: 0.07
Thu Jan 10 01:41:29 2019, Elapsed time: 0.05
Thu Jan 10 01:41:32 2019, Elapsed time: 0.05
Thu Jan 10 01:41:36 2019, Elapsed time: 0.07
Thu Jan 10 01:41:41 2019, Elapsed time: 0.07
Thu Jan 10 01:41:46 2019, Elapsed time: 0.07
Thu Jan 10 01:41:49 2019, Elapsed time: 0.05
Thu Jan 10 01:41:52 2019, Elapsed time: 0.05
Thu Jan 10 01:41:55 2019, Elapsed time: 0.06
Thu Jan 10 01:41:58 2019, Elapsed time: 0.07
Thu Jan 10 01:42:02 2019, Elapsed time: 0.07
Thu Jan 10 01:42:21 2019, Elapsed time: 0.06
Thu Jan 10 01:42:24 2019, Elapsed time: 0.05
Thu Jan 10 01:42:29 2019, Elapsed time: 0.05
Thu Jan 10 01:42:31 2019, Elapsed time: 0.07
Thu Jan 10 01:42:35 2019, Elapsed time: 0.06
Thu Jan 10 01:42:38 2019, Elapsed time: 0.06
Thu Jan 10 01:42:40 2019, Elapsed time: 0.07
Thu Jan 10 01:42:44 2019, Elapsed time: 0.06
Thu Jan 10 01:42:46 2019, Elapsed time: 0.06
Thu Jan 10 01:42:49 2019, Elapsed time: 0.06
Thu Jan 10 01:42:51 2019, Elapsed time: 0.06
Thu Jan 10 01:42:57 2019, Elapsed time: 0.06
Thu Jan 10 01:42:59 2019, Elapsed time: 0.05
Thu Jan 10 01:43:02 2019, Elapsed time: 0.06
Thu Jan 10 01:44:37 2019, Elapsed time: 0.05
Thu Jan 10 01:44:41 2019, Elapsed time: 0.06
Thu Jan 10 01:44:44 2019, Elapsed time: 0.06
Thu Jan 10 01:44:47 2019, Elapsed time: 0.05
Thu Jan 10 01:44:51 2019, Elapsed time: 0.05
Thu Jan 10 01:44:54 2019, Elapsed time: 0.05
Thu Jan 10 01:44:57 2019, Elapsed time: 0.06
Thu Jan 10 01:45:01 2019, Elapsed time: 0.04
Thu Jan 10 01:45:04 2019, Elapsed time: 0.05
Thu Jan 10 01:45:07 2019, Elapsed time: 0.05
Thu Jan 10 01:45:15 2019, Elapsed time: 0.05
Thu Jan 10 01:45:19 2019, Elapsed time: 0.05
Thu Jan 10 01:45:22 2019, Elapsed time: 0.05
Thu Jan 10 01:45:26 2019, Elapsed time: 0.07
Thu Jan 10 01:45:30 2019, Elapsed time: 0.07
Thu Jan 10 01:45:38 2019, Elapsed time: 0.06
Thu Jan 10 01:45:41 2019, Elapsed time: 0.07
Thu Jan 10 01:45:48 2019, Elapsed time: 0.05
Thu Jan 10 01:45:52 2019, Elapsed time: 0.07
Thu Jan 10 01:45:55 2019, Elapsed time: 0.07
Thu Jan 10 01:45:59 2019, Elapsed time: 0.05
Thu Jan 10 01:46:02 2019, Elapsed time: 0.05
Thu Jan 10 01:46:06 2019, Elapsed time: 0.06
Thu Jan 10 01:46:09 2019, Elapsed time: 0.08
Thu Jan 10 01:46:12 2019, Elapsed time: 0.06
Thu Jan 10 01:46:15 2019, Elapsed time: 0.08
Thu Jan 10 01:46:17 2019, Elapsed time: 0.05
Thu Jan 10 01:46:21 2019, Elapsed time: 0.05
Thu Jan 10 01:46:24 2019, Elapsed time: 0.07
Thu Jan 10 01:46:28 2019, Elapsed time: 0.07
Thu Jan 10 01:46:32 2019, Elapsed time: 0.07
Thu Jan 10 01:46:35 2019, Elapsed time: 0.05
Thu Jan 10 01:46:38 2019, Elapsed time: 0.05
Thu Jan 10 01:46:41 2019, Elapsed time: 0.07
Thu Jan 10 01:46:46 2019, Elapsed time: 0.05
Thu Jan 10 01:46:49 2019, Elapsed time: 0.06
Thu Jan 10 01:46:52 2019, Elapsed time: 0.05
Thu Jan 10 01:46:55 2019, Elapsed time: 0.05
Thu Jan 10 01:46:58 2019, Elapsed time: 0.06
Thu Jan 10 01:47:03 2019, Elapsed time: 0.06
Thu Jan 10 01:47:08 2019, Elapsed time: 0.06
Thu Jan 10 01:47:57 2019, Elapsed time: 0.06
Thu Jan 10 01:48:00 2019, Elapsed time: 0.07
Thu Jan 10 01:48:04 2019, Elapsed time: 0.07
Thu Jan 10 01:48:08 2019, Elapsed time: 0.06
